"voteshare","margin"
0,-100
0,-100
0,-100
25.1144230365753,-100
23.875193297863,-100
26.7181247472763,-100
26.2862056493759,-100
0,-100
34.071296453476,-100
64.4710421562195,-100
38.8552129268646,-100
49.6182441711426,-100
29.1177153587341,-100
0,-100
24.9587699770927,-100
22.5494831800461,-100
69.1140830516815,-100
54.0138781070709,-100
0,-100
0,-100
0,-100
27.7632087469101,-100
35.883441567421,-100
28.2759636640549,-100
36.2713605165482,-100
26.6261607408524,-100
23.300589621067,-100
30.3370624780655,-100
31.5638273954391,-100
36.2078100442886,-100
23.8838911056519,-100
26.1231988668442,-100
26.3618946075439,-100
26.0719746351242,-100
52.9443621635437,-100
23.9089697599411,-100
25.4997164011002,-100
37.7110749483109,-100
37.3523145914078,-100
41.8247520923615,-100
26.4269143342972,-100
0,-100
0,-100
0,-100
0,-100
49.4832903146744,-100
30.8024972677231,-100
39.3017113208771,-100
0,-100
30.8520257472992,-100
0,-100
41.8060570955276,-100
39.9689167737961,-100
38.3278906345367,-100
32.8188478946686,-100
32.8393816947937,-100
32.5215399265289,-100
31.3391387462616,-100
45.7662224769592,-100
0,-100
25.2482295036316,-100
26.0800659656525,-100
25.3877818584442,-100
33.363065123558,-100
30.2922755479813,-100
0,-100
18.0453717708588,-100
14.880932867527,-100
49.1820812225342,-100
0,-100
19.626484811306,-100
0,-100
0,-100
21.7739269137383,-100
0,-100
31.1220169067383,-100
98.3822107315063,-100
27.6942729949951,-100
28.5860329866409,-100
28.0646950006485,-100
0,-100
0,-100
0,-100
60.9531104564667,-100
100,-100
0,-100
0,-100
0,-100
83.7315320968628,-100
0,-100
62.0126187801361,-100
56.4675867557526,-100
0,-100
0,-100
74.2212295532227,-100
24.3742167949677,-100
72.2676575183868,-100
32.1506857872009,-99.9988913536072
35.4249507188797,-99.9659955501556
35.6009066104889,-99.9397754669189
41.8950736522675,-99.8920440673828
38.2902532815933,-99.6650815010071
48.9811956882477,-99.3808686733246
29.1885733604431,-98.141884803772
25.7532149553299,-96.6810762882233
28.9952665567398,-96.4695513248444
0,-96.4442908763885
18.4478029608727,-94.8356807231903
48.7108826637268,-94.245457649231
18.1778684258461,-94.0912842750549
25.153374671936,-93.2350635528564
0,-92.0454561710358
49.1820812225342,-90.9565389156342
28.5716950893402,-90.4992520809174
33.9222103357315,-90.1280403137207
22.4049136042595,-89.9606168270111
41.0609751939774,-89.9324774742126
33.5349559783936,-89.3966436386108
18.8932463526726,-89.2357349395752
18.8932463526726,-89.2357349395752
39.908692240715,-87.8174245357513
25.1776218414307,-87.4738276004791
0,-87.2463524341583
38.6593043804169,-87.1428668498993
20.7243084907532,-87.1359407901764
14.7613689303398,-87.082827091217
29.6515852212906,-85.6172204017639
23.147314786911,-85.4746758937836
25.4106312990189,-85.3781461715698
23.0342715978622,-85.2380216121674
25.3509283065796,-84.7843289375305
0,-84.3615293502808
20.2894881367683,-84.1930687427521
0,-83.0080509185791
35.7123851776123,-81.781941652298
0,-81.5766215324402
47.9268282651901,-80.7762205600739
0,-79.9074172973633
47.4578857421875,-78.6847114562988
27.0659953355789,-78.1497836112976
0,-76.0333001613617
0,-75.5874752998352
20.8625495433807,-75.4998445510864
0,-75.0065326690674
0,-74.5238125324249
0,-74.1154968738556
0,-73.7531244754791
11.8838235735893,-73.3390212059021
0,-73.1767296791077
0,-73.0090320110321
0,-72.8788793087006
0,-72.6980566978455
0,-72.5636661052704
0,-72.4441468715668
0,-72.3772883415222
47.4578857421875,-72.1606910228729
0,-72.0449268817902
0,-71.8114852905273
46.4307010173798,-71.2860405445099
0,-70.9415435791016
0,-70.6624865531921
32.128968834877,-70.4772591590881
0,-70.3888893127441
16.4345473051071,-70.2381372451782
0,-70.1362192630768
0,-70.1171517372131
25.4711329936981,-69.4731116294861
0,-69.4409072399139
17.6559373736382,-69.3251848220825
0,-68.7476396560669
0,-68.3362305164337
0,-68.2465195655823
24.1498067975044,-68.0687069892883
0,-67.6292300224304
25.7413893938065,-67.5953269004822
0,-66.6368007659912
40.5151307582855,-66.580069065094
30.1691919565201,-66.5769934654236
46.2319076061249,-66.5412902832031
0,-66.4420068264008
0,-66.2097692489624
0,-66.0931706428528
0,-65.9858822822571
0,-65.9065842628479
0,-65.8094227313995
0,-65.7339453697205
0,-65.5157625675201
0,-65.4325425624847
0,-64.7816240787506
45.0194537639618,-64.6881222724915
0,-64.3008232116699
0,-64.0676617622375
0,-63.8665437698364
0,-63.7986063957214
47.4578857421875,-63.7113451957703
23.9444807171822,-63.690972328186
0,-63.64426612854
0,-63.2261633872986
0,-63.0100965499878
0,-62.5883162021637
50.9916007518768,-62.4750673770905
0,-62.3265445232391
0,-62.2357726097107
0,-61.9921028614044
0,-61.9179427623749
0,-61.8986129760742
38.5215640068054,-61.8957042694092
21.2569400668144,-61.7027521133423
7.31092467904091,-61.6886973381042
0,-61.4606320858002
0,-61.3892316818237
0,-61.3291919231415
28.2027155160904,-61.2122654914856
0,-60.8944058418274
16.3504034280777,-60.7470273971558
37.6899749040604,-60.5325937271118
56.2570452690125,-60.5185508728027
0,-60.4429721832275
50.0537812709808,-60.4020953178406
0,-60.400128364563
0,-60.3401005268097
28.014275431633,-60.2759718894958
37.9871934652328,-60.243034362793
24.0689635276794,-60.2051258087158
16.0506576299667,-60.0255370140076
21.0152626037598,-59.8418116569519
27.9770493507385,-59.7938060760498
0,-59.7901165485382
26.2283653020859,-59.7375750541687
0,-59.6512317657471
25.3093957901001,-59.6065044403076
0,-59.4870865345001
0,-59.4290018081665
25.9113967418671,-59.0806722640991
0,-58.8491320610046
31.7879945039749,-58.6134970188141
47.6869076490402,-58.5212826728821
0,-58.353865146637
32.5228750705719,-58.3497881889343
0,-58.3201169967651
0,-58.2749009132385
27.3146539926529,-58.1490993499756
25.3912895917892,-58.0828666687012
48.8661646842957,-58.0639004707336
0,-58.0464482307434
0,-58.0397248268127
